LAST SEEN   TYPE      REASON                           OBJECT                                                                           MESSAGE
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-63-consumer-679cbf7f7d-jcr5g                    Successfully assigned default/bench-kubebuilder-1784137300-63-consumer-679cbf7f7d-jcr5g to deluca.pro
19m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264                     Successfully assigned default/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-5n264 to deluca.pro
32m         Normal    Starting                         node/deluca.pro                                                                  
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-35-consumer-9dccf8678-62qd6                     Successfully assigned default/bench-kubebuilder-1784137300-35-consumer-9dccf8678-62qd6 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-62-consumer-d688b54db-r85d7                     Successfully assigned default/bench-kubebuilder-1784137300-62-consumer-d688b54db-r85d7 to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-dz6xb                     Successfully assigned default/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-dz6xb to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-ffszl                     Successfully assigned default/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-ffszl to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-vn4mg                     Successfully assigned default/bench-kubebuilder-1784137300-5-consumer-5f7f6f6d7d-vn4mg to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-34-consumer-6b65d6c54b-sf56g                    Successfully assigned default/bench-kubebuilder-1784137300-34-consumer-6b65d6c54b-sf56g to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-20-consumer-66864c6d78-b2s4q                    Successfully assigned default/bench-kubebuilder-1784137300-20-consumer-66864c6d78-b2s4q to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-qlgz6                     Successfully assigned default/bench-kubebuilder-1784137300-15-consumer-7c4b868b6-qlgz6 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-25-consumer-6f95948f6b-jd747                    Successfully assigned default/bench-kubebuilder-1784137300-25-consumer-6f95948f6b-jd747 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-95-consumer-794d5dfddb-dj7kq                    Successfully assigned default/bench-kubebuilder-1784137300-95-consumer-794d5dfddb-dj7kq to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-z2n9n                    Successfully assigned default/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-z2n9n to deluca.pro
14m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-96-consumer-568c5844fd-s8mrh                    Successfully assigned default/bench-kubebuilder-1784137300-96-consumer-568c5844fd-s8mrh to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-34-consumer-6b65d6c54b-djqg2                    Successfully assigned default/bench-kubebuilder-1784137300-34-consumer-6b65d6c54b-djqg2 to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-60-consumer-855c5b6dc8-92ckd                    Successfully assigned default/bench-kubebuilder-1784137300-60-consumer-855c5b6dc8-92ckd to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-30-consumer-659fc5d49d-gshbj                    Successfully assigned default/bench-kubebuilder-1784137300-30-consumer-659fc5d49d-gshbj to deluca.pro
17m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-rtqqj                     Successfully assigned default/bench-kubebuilder-1784137300-2-consumer-7b6956bff6-rtqqj to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-44qkt                    Successfully assigned default/bench-kubebuilder-1784137300-16-consumer-74fcff8f58-44qkt to deluca.pro
15m         Normal    Scheduled                        pod/bench-kubebuilder-1784137300-30-consumer-659fc5d49d-w4wst                    Successfully assigned default/bench-kubebuilder-1784137300-30-consumer-659fc5d49d-w4wst to deluca.pro
